reader_proportion,average_time
0,9.64
1,8.94
2,8.76
3,8.58
4,8.44
5,8.58
6,8.62
7,8.68
8,8.42
9,8.68
10,8.52
11,8.56
12,8.38
13,8.42
14,8.5
15,8.58
16,8.42
17,8.58
18,8.56
19,8.52
20,8.68
21,8.48
22,8.68
23,8.52
24,8.46
25,8.52
26,8.46
27,8.46
28,8.42
29,8.62
30,8.62
31,8.46
32,8.52
33,8.42
34,8.5
35,8.72
36,8.48
37,8.52
38,8.68
39,8.6
40,8.48
41,8.42
42,8.48
43,8.54
44,8.58
45,8.52
46,8.82
47,5.96
48,8.06
49,9.48
50,8.86
51,8.66
52,8.74
53,8.72
54,8.62
55,8.6
56,8.66
57,8.52
58,8.44
59,8.62
60,8.68
61,8.62
62,10.3
63,13.54
64,13.62
65,8.38
66,10.8
67,8.6
68,20.68
69,17.02
70,8.92
71,8.62
72,8.7
73,8.5
74,8.5
75,8.56
76,8.38
77,8.3
78,8.36
79,8.7
80,8.32
81,8.44
82,13.78
83,9.6
84,9.22
85,12.58
86,8.84
87,8.4
88,8.6
89,8.9
90,9.86
91,9.04
92,9.52
93,9.68
94,9.56
95,8.74
96,8.68
97,8.44
98,8.5
99,8.72
100,8.54
